WAP11,WAP5,WAP3,WAP1,WAP9,WAP12,WAP8,WAP10,WAP6,WAP7,WAP4,WAP2,WAP14,WAP15,WAP13,LABEL,X,Y,DEVICE,OLD_ROOM_ID,ROOM_ID
-76.0,-105.0,-105.0,-85.0,-105.0,-93.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-87.0,16_1_5,1.5,14.8,104D,16,11
-76.0,-105.0,-105.0,-85.0,-105.0,-93.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-87.0,16_1_5,1.5,14.8,104D,16,11
-76.0,-105.0,-105.0,-85.0,-105.0,-93.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-87.0,16_1_5,1.5,14.8,104D,16,11
-67.0,-105.0,-105.0,-85.0,-105.0,-93.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-87.0,16_1_5,1.5,14.8,104D,16,11
-67.0,-105.0,-105.0,-85.0,-105.0,-93.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-87.0,16_1_5,1.5,14.8,104D,16,11
-67.0,-105.0,-105.0,-85.0,-105.0,-93.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-87.0,16_1_5,1.5,14.8,104D,16,11
-67.0,-105.0,-105.0,-85.0,-105.0,-93.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-87.0,16_1_5,1.5,14.8,104D,16,11
-67.0,-105.0,-105.0,-83.0,-105.0,-93.0,-105.0,-105.0,-105.0,-105.0,-105.0,-95.0,-105.0,-105.0,-87.0,16_1_5,1.5,14.8,104D,16,11
-84.0,-105.0,-105.0,-90.0,-105.0,-97.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-94.0,16_1_5,1.5,14.8,10B2,16,11
-84.0,-105.0,-105.0,-90.0,-105.0,-97.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-93.0,16_1_5,1.5,14.8,10B2,16,11
