0.1 0.1 0.1  / Media Salas 3.32 , Media Global: 3.34
0.1 0.1 0.2  / Media Salas 3.26 , Media Global: 3.28
0.1 0.1 0.3  / Media Salas 3.23 , Media Global: 3.25
0.1 0.1 0.4  / Media Salas 3.24 , Media Global: 3.27
0.1 0.1 0.5  / Media Salas 3.15 , Media Global: 3.19
0.1 0.1 0.6  / Media Salas 3.17 , Media Global: 3.2
0.1 0.1 0.7  / Media Salas 3.09 , Media Global: 3.13
0.1 0.1 0.8  / Media Salas 3.13 , Media Global: 3.14
0.1 0.1 0.9  / Media Salas 3.06 , Media Global: 3.11
0.1 0.2 0.1  / Media Salas 3.27 , Media Global: 3.3
0.1 0.2 0.2  / Media Salas 3.21 , Media Global: 3.22
0.1 0.2 0.3  / Media Salas 3.13 , Media Global: 3.15
0.1 0.2 0.4  / Media Salas 3.09 , Media Global: 3.12
0.1 0.2 0.5  / Media Salas 2.98 , Media Global: 3.01
0.1 0.2 0.6  / Media Salas 2.99 , Media Global: 3.01
0.1 0.2 0.7  / Media Salas 2.93 , Media Global: 2.96
0.1 0.2 0.8  / Media Salas 2.87 , Media Global: 2.92
0.1 0.2 0.9  / Media Salas 2.88 , Media Global: 2.92
0.1 0.3 0.1  / Media Salas 3.22 , Media Global: 3.24
0.1 0.3 0.2  / Media Salas 3.16 , Media Global: 3.17
0.1 0.3 0.3  / Media Salas 3.03 , Media Global: 3.06
0.1 0.3 0.4  / Media Salas 2.97 , Media Global: 3.04
0.1 0.3 0.5  / Media Salas 2.89 , Media Global: 2.94
0.1 0.3 0.6  / Media Salas 2.9 , Media Global: 2.95
0.1 0.3 0.7  / Media Salas 2.84 , Media Global: 2.88
0.1 0.3 0.8  / Media Salas 2.84 , Media Global: 2.88
0.1 0.3 0.9  / Media Salas 2.81 , Media Global: 2.86
0.1 0.4 0.1  / Media Salas 3.2 , Media Global: 3.21
0.1 0.4 0.2  / Media Salas 3.05 , Media Global: 3.08
0.1 0.4 0.3  / Media Salas 2.98 , Media Global: 3.0
0.1 0.4 0.4  / Media Salas 2.87 , Media Global: 2.91
0.1 0.4 0.5  / Media Salas 2.79 , Media Global: 2.84
