LABEL,X,Y,WAP1,WAP2,WAP3,WAP4,WAP5,WAP6,WAP7,WAP8,WAP9,WAP10,WAP11,WAP12,WAP13,WAP14,WAP15
16_1_5,1.5,14.8,1,3,4,3,5,6,5,4,3,2,0,1,1,3,5
16_1_3,1.5,12.5,1,3,6,4,5,6,5,4,3,2,0,1,1,3,4
16_1_1,1.5,10.2,1,2,6,6,4,5,5,4,3,2,0,1,1,1,4
16_3_5,3.5,14.8,1,2,4,3,5,6,5,4,3,2,0,1,1,3,5
16_3_3,3.5,12.5,1,3,4,3,5,6,5,4,3,2,0,1,1,3,4
16_3_1,3.5,10.2,1,2,6,4,4,5,5,4,3,2,0,1,1,2,4
16_5_5,5.5,14.8,1,2,3,5,5,7,5,4,3,2,0,1,1,3,5
16_5_3,5.5,12.5,1,2,4,3,5,6,5,4,3,2,0,1,1,3,4
16_5_1,5.5,10.2,1,3,6,4,4,4,5,4,3,2,0,1,1,3,4
16_7_5,7.5,14.8,1,2,3,5,6,6,5,4,3,2,0,1,1,3,5
16_7_3,7.5,12.5,1,2,3,3,5,6,5,4,3,2,0,1,1,3,5
16_7_1,7.5,10.2,2,2,4,4,3,4,5,4,3,2,0,1,1,3,4
16_9_5,9.5,14.8,2,2,3,5,6,6,5,4,3,2,0,1,1,3,5
16_9_3,9.5,12.5,2,2,3,5,5,6,5,4,3,2,0,1,1,3,5
16_9_1,9.5,10.2,3,2,3,3,3,5,5,4,3,2,0,1,1,3,4
39_1_5,30.7,6.1,6,5,2,1,0,1,3,2,2,4,3,8,4,2,1
39_1_3,30.7,3.8,6,5,2,1,0,1,3,2,2,4,4,6,5,2,1
39_1_1,30.7,1.5,6,5,2,1,0,1,3,2,3,4,5,7,5,3,1
39_3_5,32.9,6.1,6,5,2,1,0,1,3,2,3,3,4,7,4,2,1
39_3_3,32.9,3.8,6,5,2,1,0,1,3,2,3,4,4,7,4,2,1
39_3_1,32.9,1.5,6,5,2,1,0,1,3,2,3,4,4,6,5,3,1
39_5_5,35.2,6.1,6,5,2,1,0,1,2,2,3,3,5,7,4,2,1
39_5_3,35.2,3.8,6,5,2,1,0,1,3,2,3,4,4,8,4,2,1
39_5_1,35.2,1.5,6,5,2,1,0,1,3,2,3,4,4,6,5,2,1
40_1_5,16.6,6.1,4,3,0,1,2,3,3,3,2,2,3,3,3,1,2
40_1_3,16.6,3.8,4,3,0,1,2,3,4,4,2,2,7,4,4,1,2
40_1_1,16.6,1.5,4,3,0,1,2,3,5,4,3,2,6,5,4,1,2
40_3_5,18.6,6.1,4,3,0,1,2,3,4,3,2,2,2,5,3,1,2
40_3_3,18.6,3.8,4,3,0,1,2,3,4,4,3,2,4,4,3,1,2
40_3_1,18.6,1.5,4,3,0,1,2,3,5,3,3,2,6,4,4,1,2
40_5_5,20.6,6.1,4,3,0,1,2,3,4,4,3,2,2,5,3,1,2
40_5_3,20.6,3.8,4,3,0,1,2,3,4,4,3,2,3,5,3,1,2
40_5_1,20.6,1.5,4,3,0,1,2,3,5,3,3,2,7,4,3,1,2
41_1_7,1.4,8.2,0,1,4,5,7,8,5,6,5,3,1,2,3,1,1
41_1_5,1.4,6.0,0,1,4,5,6,7,5,5,4,2,1,2,1,2,3
41_1_3,1.4,3.8,0,1,4,5,6,7,7,6,5,3,1,2,2,3,5
41_1_1,1.4,1.6,0,1,4,5,6,7,8,7,7,4,1,2,2,4,6
41_3_7,3.4,8.2,0,1,4,5,6,8,5,4,5,4,1,2,3,1,1
